SW_ID,Date,Low,Q1,Q3,High,Tooltip
SW0053,2020-07-01,117.25,121.67,134.9,143.73,July 2020   $121.67 - $134.90
SW0053,2020-08-01,116.31,122.77,142.15,155.08,August 2020   $122.77 - $142.15
SW0053,2020-09-01,105.82,109.81,121.75,129.72,September 2020   $109.81 - $121.75
SW0053,2020-10-01,119.73,126.38,146.33,159.63,October 2020   $126.38 - $146.33
SW0053,2020-11-01,105.16,109.12,120.99,128.9,November 2020   $109.12 - $120.99
SW0053,2020-12-01,116.03,122.48,141.82,154.71,December 2020   $122.48 - $141.82
SW0053,2021-01-01,145.29,150.76,167.16,178.1,January 2021   $150.76 - $167.16
SW0053,2021-02-01,132.2,139.55,161.58,176.27,February 2021   $139.55 - $161.58
SW0053,2021-03-01,150.27,155.93,172.89,184.2,March 2021   $155.93 - $172.89
SW0053,2021-04-01,159.97,168.85,195.52,213.29,April 2021   $168.85 - $195.52
SW0053,2021-05-01,181.83,188.67,209.2,222.89,May 2021   $188.67 - $209.20
SW0053,2021-06-01,206.66,218.15,252.59,275.55,June 2021   $218.15 - $252.59
SW0053,2021-07-01,234.91,243.75,270.27,287.95,July 2021   $243.75 - $270.27
SW0053,2021-08-01,277.24,292.64,338.85,369.65,August 2021   $292.64 - $338.85
SW0053,2021-09-01,357.24,370.68,411.02,437.9,September 2021   $370.68 - $411.02
SW0053,2021-10-01,371.9,392.56,454.54,495.87,October 2021   $392.56 - $454.54
SW0053,2021-11-01,359.56,373.09,413.69,440.75,November 2021   $373.09 - $413.69
SW0053,2021-12-01,374.15,394.93,457.29,498.86,December 2021   $394.93 - $457.29
SW0053,2022-01-01,361.88,375.5,416.36,443.6,January 2022   $375.50 - $416.36
SW0053,2022-02-01,376.4,397.31,460.04,501.86,February 2022   $397.31 - $460.04
SW0053,2022-03-01,364.21,377.91,419.03,446.45,March 2022   $377.91 - $419.03
SW0053,2022-04-01,378.64,399.68,462.79,504.86,April 2022   $399.68 - $462.79
SW0053,2022-05-01,366.53,380.32,421.71,449.29,May 2022   $380.32 - $421.71
SW0053,2022-06-01,380.89,402.05,465.53,507.86,June 2022   $402.05 - $465.53
SW0053,2022-07-01,368.85,382.73,424.38,452.14,July 2022   $382.73 - $424.38
SW0053,2022-08-01,383.14,404.43,468.28,510.85,August 2022   $404.43 - $468.28
SW0053,2022-09-01,371.18,385.14,427.05,454.99,September 2022   $385.14 - $427.05
SW0053,2022-10-01,385.39,406.8,471.03,513.85,October 2022   $406.80 - $471.03
SW0053,2022-11-01,373.5,387.56,429.72,457.84,November 2022   $387.56 - $429.72
SW0053,2022-12-01,387.64,409.17,473.78,516.85,December 2022   $409.17 - $473.78
SW0053,2023-01-01,501.43,520.3,576.91,614.65,January 2023   $520.30 - $576.91
SW0053,2023-02-01,387.07,408.58,473.09,516.1,February 2023   $408.58 - $473.09
SW0053,2023-03-01,469.58,487.26,540.27,575.62,March 2023   $487.26 - $540.27
SW0053,2023-04-01,359.07,379.02,438.86,478.76,April 2023   $379.02 - $438.86
SW0053,2023-05-01,363.78,377.47,418.54,445.92,May 2023   $377.47 - $418.54
SW0053,2023-06-01,436.07,460.3,532.98,581.43,June 2023   $460.30 - $532.98
SW0053,2023-07-01,514.4,533.76,591.84,630.56,July 2023   $533.76 - $591.84
