Owned,Picture,Name of Clone,SW ID,Cost (BrickEconomy)
False,,Boba Fett (Classic Gray),SW0002,$56.00
False,,Jango Fett (Balaclava Head),SW0053,$400.00
False,,Boba Fett White,SW0275,$357.00
True,,Mandalorian Death Watch Warrior,SW0296,$6.00
False,,Pre Vizsla,SW0416,$179.99
False,,Mandalorian Super Commando,SW0494,$27.00
False,,Mandalorian Super Commando,SW0495,$28.21
False,,Sabine Wren,SW0616,$29.69
False,,Sabine Wren,SW0742,$15.89
True,,Female Mandalorian Tribe Warrior,SW1077,$4.24
True,,Female Mandalorian Tribe Warrior,SW1078,$4.05
True,,Male Mandalorian Tribe Warrior,SW1079,$4.24
True,,Male Mandalorian Tribe Warrior,SW1080,$4.22
False,,Moff Gideon,SW1160,$46.45
False,,Gar Saxon,SW1162,$32.94
False,,Bo-Katan Kryze,SW1163,$7.95
True,,Mandalorian Loyalist,SW1164,$7.80
False,,The Mandalorian - Din Djarin,SW1166,$4.46
True,,The Armorer,SW1171,$20.96
False,,Paz Vizsla,SW1172,$13.84
False,,The Mandalorian - Din Djarin,SW1258,$4.00
False,,Mandalorian Fleet Commander,SW1259,$4.95
True,,Bo-Katan Kryze,SW1287,$19.08
False,,Sabine Wren,SW1302,$6.31
False,,Sabine Wren,SW1395,$8.51
False,,Paz Visla,SW1341,$5.49
False,,Moff Gideon,SW1342,$8.88
False,,Mandalorian Nite Owl,SW1344,$3.02
False,,Mandalorian Warrior,SW1345,$3.07
